Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,325.510010,327.029999,323.959991,326.790009,324.620819,33375600
2023-05-16,326.059998,328.899994,326.019989,327.160004,324.988373,40019200
2023-05-17,328.239990,331.709991,327.040009,331.119995,328.922089,47486100
2023-05-18,331.519989,337.489990,331.500000,337.269989,335.031250,64213500
2023-05-19,337.489990,338.209991,335.429993,336.510010,334.276306,61462400
2023-05-22,336.250000,338.670013,336.239990,337.640015,335.398834,43015900
2023-05-23,335.890015,337.059998,333.000000,333.359985,331.147186,48216700
2023-05-24,331.369995,332.910004,329.559998,331.649994,329.448578,62891200
2023-05-25,339.140015,341.010010,336.670013,339.720001,337.464966,66862800
2023-05-26,340.760010,349.250000,340.660004,348.399994,346.087372,63007000
2023-05-30,352.709991,353.929993,348.529999,349.980011,347.656891,72652200
2023-05-31,348.369995,350.600006,346.510010,347.989990,345.680054,65105400
2023-06-01,347.730011,353.359985,346.660004,352.010010,349.673431,50488600
2023-06-02,353.799988,355.829987,352.010010,354.649994,352.295868,53293500
2023-06-05,354.429993,357.500000,353.850006,354.899994,352.544220,47266200
2023-06-06,354.279999,355.820007,352.929993,354.839996,352.484619,41390400
2023-06-07,355.130005,357.119995,348.179993,348.820007,346.504608,69225900
2023-06-08,349.119995,353.619995,348.890015,353.149994,350.805847,47153900
2023-06-09,354.630005,357.660004,353.029999,354.500000,352.146881,53155900
2023-06-12,356.190002,360.589996,355.200012,360.489990,358.097137,44606500
2023-06-13,363.290009,364.109985,360.029999,363.260010,360.848755,57097800
2023-06-14,363.269989,366.190002,360.420013,365.899994,363.471191,69525600
2023-06-15,364.609985,371.769989,363.980011,370.260010,367.802307,71138800
2023-06-16,372.720001,372.850006,367.480011,367.929993,365.487762,80875900
2023-06-20,365.950012,368.320007,363.890015,366.899994,364.964508,49204700
2023-06-21,365.739990,366.179993,360.959991,361.899994,359.990875,53378300
2023-06-22,360.630005,366.329987,360.220001,366.170013,364.238403,47603000
2023-06-23,362.209991,364.880005,360.820007,362.540009,360.627533,48873900
2023-06-26,362.000000,364.839996,357.589996,357.679993,355.793152,52685500
2023-06-27,359.250000,364.570007,358.510010,363.829987,361.910706,49428100
2023-06-28,361.980011,366.519989,361.899994,364.540009,362.617004,46498000
2023-06-29,364.239990,364.890015,362.140015,363.809998,361.890808,46151000
2023-06-30,367.549988,370.489990,367.230011,369.420013,367.471222,58668800
2023-07-03,370.070007,370.929993,368.970001,370.290009,368.336639,19432900
2023-07-05,368.700012,372.010010,368.660004,370.279999,368.326691,34460900
2023-07-06,366.510010,367.910004,364.519989,367.459991,365.521545,49374700
2023-07-07,367.230011,370.480011,366.010010,366.239990,364.307983,47083200
2023-07-10,365.959991,367.049988,363.410004,366.359985,364.427338,48498800
2023-07-11,366.790009,368.630005,364.619995,368.170013,366.227814,38214100
2023-07-12,372.339996,374.190002,370.299988,372.820007,370.853271,61975400
2023-07-13,376.049988,379.989990,375.459991,379.149994,377.149902,46960000
